"Data","Segmento","Empresa","GrupoProblema","Ocorrencias"
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","GVT (DESATIVADA)","Vício de Qualidade",109
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Atendimento / SAC",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Cobrança / Contestação",8
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Atendimento / SAC",1551
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Cobrança / Contestação",4436
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Contrato / Oferta",2584
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Entrega do Produto",4
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Informação",128
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Saúde e Segurança",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Vício de Qualidade",1156
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Atendimento / SAC",584
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Cobrança / Contestação",1367
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Contrato / Oferta",645
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Entrega do Produto",20
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Informação",29
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Saúde e Segurança",1
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Vício de Qualidade",304
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Atendimento / SAC",1540
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Cobrança / Contestação",5245
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Contrato / Oferta",2224
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Entrega do Produto",22
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Informação",116
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Saúde e Segurança",6
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Vício de Qualidade",1181
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Atendimento / SAC",4231
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Cobrança / Contestação",15041
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Contrato / Oferta",6222
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Entrega do Produto",115
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Informação",223
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Saúde e Segurança",23
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Vício de Qualidade",4885
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Atendimento / SAC",2023
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Cobrança / Contestação",5147
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Contrato / Oferta",1866
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Informação",130
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","SKY","Vício de Qualidade",1339
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Atendimento / SAC",3381
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Cobrança / Contestação",9735
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Contrato / Oferta",3790
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Entrega do Produto",93
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Informação",312
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Saúde e Segurança",16
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Tim","Vício de Qualidade",2965
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Atendimento / SAC",692
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Cobrança / Contestação",1865
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Contrato / Oferta",961
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Entrega do Produto",23
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Informação",58
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Saúde e Segurança",6
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica","Vício de Qualidade",706
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Atendimento / SAC",3853
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Cobrança / Contestação",11777
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Contrato / Oferta",5674
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Entrega do Produto",121
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Informação",307
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Saúde e Segurança",26
"2016","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Vivo - Telefônica (GVT)","Vício de Qualidade",3649
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Atendimento / SAC",3
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Cobrança / Contestação",22
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Contrato / Oferta",5
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Informação",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Celular","Vício de Qualidade",5
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Fixo","Atendimento / SAC",21
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Fixo","Cobrança / Contestação",38
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Fixo","Contrato / Oferta",29
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Fixo","Informação",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar Fixo","Vício de Qualidade",21
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar TV","Cobrança / Contestação",7
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar TV","Contrato / Oferta",2
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Algar TV","Vício de Qualidade",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Atendimento / SAC",1893
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Cobrança / Contestação",8596
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Contrato / Oferta",3136
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Entrega do Produto",35
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Informação",243
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Saúde e Segurança",13
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Celular","Vício de Qualidade",1435
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Atendimento / SAC",172
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Cobrança / Contestação",938
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Contrato / Oferta",194
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Entrega do Produto",9
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Informação",11
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro Fixo - Embratel","Vício de Qualidade",122
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Atendimento / SAC",1014
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Cobrança / Contestação",3082
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Contrato / Oferta",1260
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Entrega do Produto",13
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Informação",82
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Saúde e Segurança",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Claro TV","Vício de Qualidade",614
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Atendimento / SAC",73
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Cobrança / Contestação",61
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Contrato / Oferta",143
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Informação",4
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Copel Telecom","Vício de Qualidade",74
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Atendimento / SAC",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Cobrança / Contestação",2
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Intelig","Contrato / Oferta",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Atendimento / SAC",3331
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Cobrança / Contestação",11512
